Document Name,risk_score
['DOMAIN NAME AND CONTENT LICENSE AGREEMENT'],28
['PROMOTION AGREEMENT'],28
['Collaborative Development and Commercialization Agreement'],28
['CO-BRANDING AGREEMENT'],27
"['LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT']",27
['DISTRIBUTION AND DEVELOPMENT AGREEMENT'],27
['SPONSORSHIP AND SERVICES AGREEMENT'],27
['STRATEGIC ALLIANCE AGREEMENT'],27
['Endorsement Agreement'],27
['RESELLER AGREEMENT'],27
['MASTER FRANCHISE AGREEMENT'],27
['FRANCHISE AGREEMENT'],27
['License and Hosting Agreement'],26
['WEBSITE CONTENT LICENSE AGREEMENT'],26
['ENDORSEMENT AGREEMENT'],26
['SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT'],26
['NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT'],26
['Sponsorship Agreement'],26
['DISTRIBUTOR AGREEMENT'],25
['DEVELOPMENT AGREEMENT'],25
['Endorsement Agreement'],25
['DISTRIBUTOR AGREEMENT'],25
['SUPPLY AGREEMENT'],25
['CHANNEL PARTNER RESELLER AGREEMENT'],25
"['COLLABORATION AGREEMENT (""']",25
['Strategic Alliance Agreement'],24
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],24
['INTELLECTUAL PROPERTY AGREEMENT'],24
"['ELECTRONIC JOURNAL SOFT WARE DEVELOPMENT,                         HOSTING AND MANAGEMENT AGREEMENT']",24
['DISTRIBUTORSHIP AGREEMENT'],24
['FRANCHISE AGREEMENT'],24
['Manufacturing Agreement'],24
['Network Build and Maintenance Agreement'],24
['Outsourcing Agreement'],24
['DISTRIBUTOR AGREEMENT'],24
['Endorsement Agreement'],24
['Collaboration Agreement'],24
['COLLABORATION AGREEMENT'],24
['COLLABORATION AGREEMENT'],23
['COLLABORATION AGREEMENT'],23
['Distributor Agreement'],23
['DISTRIBUTOR AGREEMENT'],23
['PRODUCT SALE AND MARKETING AGREEMENT'],23
['License and Hosting Agreement'],23
['Manufacturing and Supply Agreement'],23
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],23
['FRANCHISE AGREEMENT'],23
['Supply Agreement'],23
['PROMOTION AGREEMENT'],23
['STRATEGIC ALLIANCE AGREEMENT'],23
['PROMOTION AGREEMENT'],23
['JOINT CONTENT LICENSE AGREEMENT'],23
['CO-BRANDING AGREEMENT'],23
['CO-BRANDING AGREEMENT'],23
"['Software License, Customization and Maintenance Agreement']",22
['CO-BRANDING AGREEMENT'],22
['ENDORSEMENT AGREEMENT'],22
['Sponsorship Agreement'],22
['STRATEGIC ALLIANCE AGREEMENT'],21
['JOINT VENTURE AGREEMENT'],21
['JOINT VENTURE AGREEMENT'],21
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],21
['TECHNOLOGY OUTSOURCING AGREEMENT'],21
"['LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT']",21
['JOINT SUPPLY AND MARKETING AGREEMENT'],21
['CO-BRANDING AND ADVERTISING AGREEMENT'],21
['SUPPLY AGREEMENT'],21
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],21
['GAS TRANSPORTATION AGREEMENT'],20
['DISTRIBUTOR AGREEMENT'],20
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],20
['ENDORSEMENT AGREEMENT'],20
['ENDORSEMENT AGREEMENT'],20
['FRANCHISE AGREEMENT'],20
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],20
"['COLLABORATION AGREEMENT (""A']",20
['AFFILIATE OFFICE AGREEMENT'],20
['ENDORSEMENT AGREEMENT'],20
['JOINT DEVELOPMENT AGREEMENT'],20
['CHARTER AFFILIATE AFFILIATION AGREEMENT'],20
['License and Development Agreement'],19
['Software Hosting Agreement'],19
['DISTRIBUTOR AGREEMENT'],19
['Program Content License Agreement'],19
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],19
['TRANSPORTATION SERVICES AGREEMENT'],19
"['Sales, Marketing, Distribution, and Supply Agreement']",19
['FORM OF FRANCHISE AGREEMENT'],19
['COLLABORATION & ENDORSEMENT AGREEMENT'],19
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],19
['JOINT DEVELOPMENT AND MARKETING AGREEMENT'],19
['AMENDMENT NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT'],19
['SPONSORSHIP AGREEMENT'],19
['MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT'],19
['SPONSORSHIP AND DEVELOPMENT AGREEMENT'],18
['Outsourcing Agreement'],18
['Reseller Agreement'],18
['Manufacturing and Supply Agreement'],18
['Distribution Agreement'],18
['DISTRIBUTOR AGREEMENT'],18
"['Wireless Content License Agreement Number 12965', 'AMENDMENT NO. 1']",18
['Reseller Agreement'],18
['CONTENT LICENSE AGREEMENT'],18
['FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT'],17
['SITE DEVELOPMENT AND HOSTING AGREEMENT ('],17
['Promotion and Distribution Agreement'],17
['Supply Agreement'],17
['STRATEGIC ALLIANCE AGREEMENT'],17
['TRANSPORTATION SERVICES AGREEMENT'],17
['JOINT VENTURE CONTRACT'],16
['STRATEGIC ALLIANCE AGREEMENT'],16
['ENDORSEMENT AGREEMENT'],16
['FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive)'],16
['CELEBRITY ENDORSEMENT AGREEMENT'],16
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],16
['SPONSORSHIP AGREEMENT'],16
['RECIPE DEVELOPMENT AGREEMENT'],16
['Intellectual Property Agreement'],16
['Manufacturing Agreement'],16
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],16
['INTELLECTUAL PROPERTY AGREEMENT'],16
['DEVELOPMENT AGREEMENT'],16
['CO-BRANDING AGREEMENT                                      (FORM)'],15
['COOPERATION AGREEMENT'],15
['AGENCY AGREEMENT'],15
['REMARKETING AGREEMENT'],15
['Manufacturing Agreement'],15
['Outsourcing Base Agreement'],15
['SUPPLY AGREEMENT'],15
['Promotion Agreement'],15
['FORM OF TRADEMARK LICENSE AGREEMENT'],15
['CO-BRANDING AGREEMENT'],15
['INTELLECTUAL PROPERTY AGREEMENT'],15
['Marketing Agreement'],15
['SUPPLY AGREEMENT'],15
['OUTSOURCING AGREEMENT'],15
['MARKETING AND TRANSPORTATION SERVICES AGREEMENT'],15
['DISTRIBUTOR AGREEMENT'],15
['Strategic Alliance Agreement'],14
['CONTENT LICENSE AGREEMENT'],14
['EVENT SPONSORSHIP AGREEMENT'],14
['BUSINESS DEVELOPMENT AGREEMENT'],14
['Cooperation Agreement'],14
['ENDORSEMENT AGREEMENT'],14
['INTELLECTUAL PROPERTY AGREEMENT'],14
['AGENCY AGREEMENT'],14
['MANUFACTURING AGREEMENT'],14
['ENDORSEMENT AGREEMENT'],14
['Supply Agreement'],14
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],13
['OUTSOURCING AGREEMENT'],13
['OUTSOURCING AGREEMENT'],13
['Outsourcing Agreement'],13
"['Order Form', 'ASP and Outsourcing Agreement']",13
['STRATEGIC ALLIANCE AGREEMENT'],13
['APPLICATION DEVELOPMENT AGREEMENT'],13
['Maintenance and Support Agreement'],13
['JOINT VENTURE AGREEMENT'],13
['DISTRIBUTOR AGREEMENT'],12
['GLOBAL MASTER SUPPLY AGREEMENT'],12
['INTERNET CHANNEL COOPERATION AGREEMENT'],12
['DISTRIBUTOR AGREEMENT'],12
['TRADEMARK LICENSE AGREEMENT'],12
['MASTER SUPPLY AGREEMENT'],12
['INTELLECTUAL PROPERTY AGREEMENT'],12
['Corporate Sponsorship Agreement'],12
['Sponsorship Agreement'],12
['AGENCY AGREEMENT'],12
['CONSULTING AGREEMENT'],12
['Amendment #3 to the Manufacturing Agreemen'],12
['SPONSORSHIP AGREEMENT'],12
"['MANUFACTURING, DESIGN AND MARKETING AGREEMENT (t']",11
['SUPPLY AGREEMENT'],11
['Intellectual Property Agreement'],11
['Distributor Agreement'],11
['Master Development and Manufacturing Agreement'],11
['Distributorship agreement'],11
['SPONSORSHIP AGREEMENT'],11
['MASTER SUPPLY AGREEMENT'],11
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],11
['AMENDED AND RESTATED REMARKETING AGREEMENT'],11
['SPONSORSHIP AGREEMENT'],11
['TALENT ENDORSEMENT AGREEMENT'],11
['AGENCY AGREEMENT'],11
['GLOBAL MAINTENANCE AGREEMENT ('],11
['PROMOTION AGREEMENT'],11
['COLLABORATION AGREEMENT'],11
['SPONSORSHIP AGREEMENT'],10
['AGENCY AGREEMENT'],10
['MASTER JOINT DEVELOPMENT AGREEMENT'],10
['Service Agreement'],10
['MARKETING AFFILIATE AGREEMENT'],10
['AGENCY AGREEMENT'],10
['LICENSE AND HOSTING AGREEMENT'],10
['Cooperation Agreement'],10
['FORM OF CONTENT LICENSE AGREEMENT'],10
['Multiple LINAC and Multi-Modality Distributor Agreement'],10
['Network Management Outsourcing Agreement'],10
['GAS TRANSPORTATION AGREEMENT'],9
['Transportation Agreement'],9
['Services Outsourcing Agreement'],9
['SOFTWARE LICENSE AND MAINTENANCE AGREEMENT'],9
['SPONSORSHIP AGREEMENT'],9
['JOINT VENTURE AGREEMENT'],9
['STRATEGIC ALLIANCE AGREEMENT'],9
['Software license and maintenance agreement'],9
['HOSTING AGREEMENT'],9
['STRATEGIC ALLIANCE AGREEMENT'],9
['INTELLECTUAL PROPERTY AGREEMENT'],9
['AGENCY AGREEMENT'],9
['CONTENT LICENSING AGREEMENT'],9
['Media Content and License Agreement'],9
['Promotion Agreement'],9
['SPONSORSHIP AGREEMENT'],9
['MARKETING AFFILIATE AGREEMENT'],9
['ENDORSEMENT AGREEMENT'],9
['Consulting and Product Development Agreement'],9
['SUPPLY AGREEMENT'],8
['SPONSORSHIP AGREEMENT'],8
['e-business Hosting Agreement'],8
"['TRANSFER AND SERVICING AGREEMENT, d']",8
['CO-BRANDING AGREEMENT'],8
['COOPERATION AGREEMENT'],8
['Cooperation Agreement'],8
['TRANSPORTATION SERVICE AGREEMENT'],8
['Online Hosting Agreement'],8
['CONSULTING AGREEMENT'],8
['ENDORSEMENT AGREEMENT'],8
['AMENDMENT                                      TO THE                               DISTRIBUTOR AGREEMENT                                      BETWEEN                                   INGRAM MICRO                                        AND                                      NETGEAR'],8
['SPONSORSHIP AGREEMENT'],8
['Sponsorship Agreement'],8
['MASTER SERVICES AGREEMENT ('],7
['SPONSORSHIP AGREEMENT'],7
['SERVICING AGREEMENT'],7
['SPONSORSHIP AGREEMENT'],7
['INTELLECTUAL PROPERTY AGREEMENT'],7
['OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT'],7
['AGENCY AGREEMENT'],7
['JOINT VENTURE AGREEMENT'],7
['AFFILIATE AGREEMENT'],7
['CONTENT LICENSE AGREEMENT'],7
['Strategic Alliance Agreement'],7
['STRATEGIC ALLIANCE AGREEMENT'],7
['DISTRIBUTION AND SERVICES AGREEMENT'],7
['TURN - KEY MANUFACTURING AGREEMENT'],7
['ENDORSEMENT AGREEMENT'],7
['JOINT VENTURE AGREEMENT'],7
['TRANSPORTATION CONTRACT  GENERAL CONDITIONS'],6
['MARINE TRANSPORTATION AGREEMENT'],6
"['MANUFACTURING AGREEMENT', 'AMENDMENT NO. 1']",6
['CONTENT LICENSE AGREEMENT'],6
['Promotion Agreement'],6
['Amended and Restated Unconditional Capital Maintenance Agreement'],6
['NON-COMPETITION AND NON-SOLICITATION AGREEMENT'],6
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],6
"['DEVELOPMENT AGREEMENT (""']",6
['e-business Hosting Agreement'],6
['PHOTO RETOUCHING OUTSOURCING AGREEMENT'],6
['OUTSOURCING AGREEMENT'],5
['VISP WEB SITE BUILDING AND HOSTING AGREEMENT'],5
['SPONSORSHIP AGREEMENT'],5
['MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products)'],5
['Strategic Alliance Agreement'],5
['Strategic Alliance Agreement'],5
['Master Services Agreement'],5
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],5
"['INTELLECTUAL PROPERTY AGREEMENT, d']",5
['Development Agreement'],5
['STRATEGIC ALLIANCE AGREEMENT'],5
['Strategic Alliance Agreement'],5
['Collaboration Agreement'],5
['Master Service Agreement'],4
['SUPPLY AGREEMENT'],4
['TRANSPORTATION CONTRACT'],4
['CONSULTING AGREEMENT'],4
['SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT'],4
['RESELLER AGREEMENT'],4
['STRATEGIC ALLIANCE AGREEMENT'],4
['INTELLECTUAL PROPERTY AGREEMENT'],4
['TRADEMARK LICENSE AGREEMENT'],4
"[""EXHIBIT 'B'""]",4
['CONSULTING AGREEMENT'],4
['SUPPORT AND MAINTENANCE AGREEMENT'],4
['Sponsorship Agreement'],4
['SERVICE AGREEMENT'],4
['Strategic Alliance Agreement'],3
['BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT'],3
['SPONSORSHIP AGREEMENT'],3
"['INTELLECTUAL PROPERTY AGREEMENT, d']",3
['Strategic Alliance Agreement'],3
['OPERATIONS AND MAINTENANCE AGREEMENT'],3
['SERVICE AGREEMENT'],3
['SPONSORSHIP AGREEMENT'],3
['SERVICES AGREEMENT'],3
['LICENSING AND WEB SITE HOSTING AGREEMENT'],3
['CONSULTING AGREEMENT'],3
['STRATEGIC SALES & MARKETING AGREEMENT'],3
['OPERATIONS AND MAINTENANCE AGREEMENT'],3
['INTELLECTUAL PROPERTY AGREEMENT'],3
['Cooperation Agreement'],3
['Collaboration Agreement'],3
['Cooperation Agreement (2014 Amendment)'],3
['LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2)'],3
['MAINTENANCE AGREEMENT'],3
['CONSTRUCTION AND MAINTENANCE AGREEMENT'],3
['AGENCY AGREEMENT'],3
"['STRATEGIC ALLIANCE AGREEMENT, d']",3
['Cooperation Agreement'],3
['CONSULTING AGREEMENT'],3
['Cooperation Agreement'],3
['Cooperation Agreement ('],3
['SPONSORSHIP AGREEMENT'],2
['SPONSORSHIP AGREEMENT'],2
['SPONSORSHIP AGREEMENT'],2
['SERVICE AGREEMENT'],2
['FLEET MAINTENANCE AGREEMENT'],2
['LICENCE AND MAINTENANCE AGREEMENT'],2
"['Wireless Content License Agreement Number 12965', 'AMENDMENT NO. 2']",2
['Strategic Alliance Agreement'],2
['SOFTWARE DEVELOPMENT AGREEMENT'],2
['SUPPLIER/SUBCONTRACTOR CONTRACT'],2
['SUPPLY CONTRACT'],2
['MAINTENANCE AGREEMENT'],2
['Cooperation Agreement'],2
['Road Transportation Agreement'],2
['LIMITED POWER OF ATTORNEY'],2
['AGENCY AGREEMENT'],2
['TRADEMARK LICENSE AGREEMENT'],2
['NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER'],2
['ENDORSEMENT'],2
['Strategic Alliance Agreement'],2
['Strategic Alliance Agreement'],2
['CO-BRANDING AND SERVICES AGREEMENT'],2
['Intellectual Property Rights Confidentiality and Non-Use Obligations Agreement'],1
['ENDORSEMENT AGREEMENT ADDENDUM I'],1
['MAINTENANCE AGREEMENT'],1
['CONSULTING AGREEMENT'],1
['RESELLER AGREEMENT'],1
['STRATEGIC ALLIANCE AGREEMENT is'],1
['JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT'],1
['WALABOT-HOME RESELLER AGREEMENT'],1
['PROMOTION AGREEMENT'],1
['TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150'],1
['COOPERATION AGREEMENT'],1
['TRANSPORTATION CONTRACT'],1
['Intellectual Property Agreement'],1
['INTELLECTUAL PROPERTY AGREEMENT'],1
['ENDORSEMENT AGREEMENT'],1
['ENDORSEMENT AGREEMENT'],1
['SERVICE AGREEMENT'],1
['MANUFACTURING OUTSOURCING AGREEMENT'],1
['CONSULTING AGREEMENT'],1
['GAS FRANCHISE AGREEMENT'],1
['WEB HOSTING AGREEMENT'],1
['SERVICES AGREEMENT'],1
['DISTRIBUTOR AGREEMENT'],1
['First Amendment'],0
['FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT'],0
['Attachment C to Master Franchise Agreement   MULTI-STATE ADDENDUM   CALIFORNIA APPENDIX'],0
['AMENDMENT TO SERVICES AGREEMENT'],0
['SECOND AMENDMENT TO SERVICES AGREEMENT'],0
['ADDENDUM REQUIRED BY THE DEPARTMENT OF LAW OF THE STATE OF NEW YORK'],0
['SERVICES AGREEMENT'],0
['AFFILIATE AGREEMENT'],0
['FORM OF SUB-RESELLER AGREEMENT'],0
['BUSINESS AFFILIATE AGREEMENT'],0
['NON-COMPETITION AGREEMENT AMENDMENT NO. 1'],0
"[""AGENTS' CERTIFICATE""]",0
"['SCHEDULE TO Software License, Customization and Maintenance Agreement']",0
['JOINT FILING AGREEMENT'],0
['FORM OF TRADEMARK LICENSE AGREEMENT'],0
['Outsourcing Contract on Development of Miaoli Royal Resort Hotel'],0
['Amendment n° 01   to the Global Maintenance Agreement ref. DS/C-3957/14 Issue 7'],0
['RESELLER AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['DISTRIBUTOR AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
"['Customization Schedule', 'Software License, Customization and Maintenance Agreement']",0
['SOFTWARE MAINTENANCE AGREEMENT'],0
['COMPLEHON AGREEMENT AND UQITDITV MAINTENANCE AGREEMENT'],0
"['RESTATED NET INVESTMENT INCOME MAINTENANCE AGREEMENT,']",0
['Premium Managed Hosting Agreement'],0
['GUARANTEES OF MASTER FRANCHISE AGREEMENT'],0
"['AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT']",0
['SECOND AMENDMENT TO CO-BRANDING AGREEMENT'],0
['Cooperation Agreement'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING AGREEMENT'],0
['JOINT FILING STATEMENT'],0
['JOINT FILING AGREEMENT'],0
['AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT'],0
['TRANSITION SERVICES AGREEMENT'],0
['AMENDMENT #2 TO THE                              DISTRIBUTION AGREEMENT'],0
['Services Agreement'],0
"['MANUFACTURING AGREEMENT', 'AMENDMENT NO. 2']",0
"['AMENDMENT NO. 3', 'MANUFACTURING AGREEMENT']",0
['MUTUAL TERMINATION AGREEMENT'],0
['ADDENDUM TO\n\nZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT'],0
['AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT'],0
"['AMENDMENT NO. 3', 'Wireless Content License Agreement Number 12965']",0
['CONTENT LICENSE AGREEMENT'],0
['FIRST AMENDMENT TO SUPPLY AND MANUFACTURING AGREEMENT'],0
"['Software Development Agreement', 'STATEMENT OF WORK - APPENDIX A']",0
"['United National Bancorp Enters Into                 Outsourcing Agreement with the BISYS Group, Inc.']",0
['Consulting Agreement'],-1
['JOINT VENTURE AGREEMEN'],-1
['Reseller Agreement'],-1
['Strategic Alliance Agreement'],-1
['AGENCY AGREEMENT'],-1
['Services Agreement'],-1
['SOFTWARE LICENSE AND MAINTENANCE AGREEMENT'],-1
['CONTENT LICENSE AGREEMENT'],-1
['Software License Agreement [v.08.05.03]'],-1
['CORPORATE SPONSORSHIP AGREEMENT'],-1
['Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts'],-1
['CONSULTING AGREEMENT'],-2
['SUPPLY AGREEMENT'],-2
"[""STRATEGIC' ALLIANCE AGREEMENT (""]",-2
['Strategic Alliance Agreement'],-2
['Mobile Application Development Agreement'],-2
['SERVICES AND HOSTING AGREEMENT'],-2
['OPERATIONS AND MAINTENANCE AGREEMENT'],-2
['CONSULTING AGREEMENT'],-2
['TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT'],-2
['SERVICE AGREEMENT'],-2
['SERVICES AGREEMENT'],-2
"['Website Design, Development and Hosting Agreement']",-3
['Split-Dollar Endorsement Agreement'],-3
['SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES'],-3
['DEVELOPMENT AGREEMENT'],-3
['CO-BRANDING AGREEMENT'],-3
"['Software License, Customization and Maintenance Agreement', 'Product License Schedule']",-3
['CO-BRANDING AGREEMENT'],-3
['ASIA PACIFIC CABLE NETWORK 2 CONSTRUCTION & MAINTENANCE AGREEMENT'],-3
['Yield Maintenance Agreement'],-4
['SERVICES AGREEMENT'],-4
['Maintenance and support contract'],-4
['SERVICE AGREEMENT'],-4
['Intellectual Property Agreement'],-4
['SPONSORSHIP AGREEMENT'],-4
['ORDERLY MARKETING AGREEMENT'],-4
['Remarketing Agreement'],-5
['STRATEGIC ALLIANCE AGREEMENT'],-5
['Support and Maintenance Agreement'],-6
['SERVICING AGREEMENT'],-6
['MAINTENANCE AGREEMENT'],-7
['Affiliate Program / Premium Affiliate Management General Terms and Conditions'],-8
['AGENCY AGREEMENT'],-8
['COOPERATION AGREEMENT'],-8
['CHASE AFFILIATE AGREEMENT'],-8
['WHOLESALE MARKETING AGREEMENT'],-8
['OUTSOURCING AGREEMENT'],-8
['ESCROW AGREEMENT'],-9
['SPONSORSHIP AGREEMENT'],-9
['OUTSOURCING AGREEMENT'],-10
['WEB SITE HOSTING AGREEMENT'],-10
['Unconditional Capital Maintenance Agreement'],-10
